"Der Untergang","8.2","Traudl Junge, the final secretary for Adolf Hitler, tells of the Nazi dictator's final days in his Berlin bunker at the end of WWII.","R","2h 36min","2004","Oliver Hirschbiegel","13500000","","9218091022013"
"Die Hard","8.2","John McClane, officer of the NYPD, tries to save his wife Holly Gennaro and several others that were taken hostage by German terrorist Hans Gruber during a Christmas party at the Nakatomi Plaza in Los Angeles.","","Action","1988","John McTiernan","28000000","","140767956"
"Heat","8.2","A group of professional bank robbers start to feel the heat from police when they unknowingly leave a clue at their latest heist, while both sides attempt to find balance between their personal and professional lives.","R","2h 50min","1995","Michael Mann","60000000","","187436818"
"Raging Bull","8.2","Emotionally self-destructive boxer, Jake La Motta's journey through life, as the violence and temper that leads him to the top in the ring destroys his life outside it.","","Biography","1980","Martin Scorsese","18000000","",""
"Ikiru","8.3","A bureaucrat tries to find a meaning in his life after he discovers he has terminal cancer.","","Drama","1952","Akira Kurosawa","","",""
"The Great Escape","8.2","Allied prisoners of war plan for several hundred of their number to escape from a German camp during World War II.","","Adventure","1963","John Sturges","4000000","",""
"The Third Man","8.2","Pulp novelist Holly Martins travels to shadowy, postwar Vienna, only to find himself investigating the mysterious death of an old friend, Harry Lime.","","Film-Noir","1949","Carol Reed","","",""
"Three Billboards Outside Ebbing, Missouri","8.2","A mother personally challenges the local authorities to solve her daughter's murder when they fail to catch the culprit.","R","1h 55min","2017","Martin McDonagh","15000000","","156984362152018"
"Bacheha-Ye aseman","8.3","After a boy loses his sister's pair of shoes, he goes on a series of adventures in order to find them. When he can't, he tries a new way to ""win"" a new pair.","PG","1h 29min","1997","Majid Majidi","180000","",""
"Chinatown","8.2","A private detective hired to expose an adulterer finds himself caught up in a web of deceit, corruption, and murder.","","Drama","1974","Roman Polanski","6000000","","30000000312000"
"Pan's Labyrinth","8.2","In the falangist Spain of 1944, the bookish young stepdaughter of a sadistic army officer escapes into an eerie but captivating fantasy world.","R","1h 58min","2006","Guillermo del Toro","13500000","","87041569"
"Incendies","8.2","Twins journey to the Middle East to discover their family history, and fulfill their mother's last wishes.","R","2h 11min","2010","Denis Villeneuve","6800000","","12597210"
"Tonari no Totoro","8.2","When two girls move to the country to be near their ailing mother, they have adventures with the wondrous forest spirits who live nearby.","SU","1h 26min","1988","Hayao Miyazaki","3700000","",""
"Ran","8.2","In Medieval Japan, an elderly warlord retires, handing over his empire to his three sons. However, he vastly underestimates how the new-found power will corrupt them and cause them to turn on each other...and him.","","Action","1985","Akira Kurosawa","11500000","",""
"Judgment at Nuremberg","8.2","In 1948, an American court in occupied Germany tries four Nazi judges for war crimes.","","Drama","1961","Stanley Kramer","3000000","","10000000311961"
"El secreto de sus ojos","8.2","A retired legal counselor writes a novel hoping to find closure for one of his past unresolved homicide cases and for his unreciprocated love with his superior - both of which still haunt him decades later.","R","2h 9min","2009","Juan José Campanella","2000000","","33965843312011"
"The Gold Rush","8.2","A prospector goes to the Klondike in search of gold and finds it and more.","","Adventure","1925","Charles Chaplin","923000","",""
"Hauru no ugoku shiro","8.2","When an unconfident young woman is cursed with an old body by a spiteful witch, her only chance of breaking the spell lies with a self-indulgent yet insecure young wizard and his companions in his legged, walking castle.","PG","1h 59min","2004","Hayao Miyazaki","24000000","","235184110"
"The Bridge on the River Kwai","8.2","After settling his differences with a Japanese PoW camp commander, a British colonel co-operates to oversee his men's construction of a railway bridge for their captors - while oblivious to a plan by the Allies to destroy it.","PG","2h 41min","1957","David Lean","3000000","",""
"On the Waterfront","8.2","An ex-prize fighter turned longshoreman struggles to stand up to his corrupt union bosses.","","Crime","1954","Elia Kazan","910000","",""
"Inside Out","8.2","After young Riley is uprooted from her Midwest life and moved to San Francisco, her emotions - Joy, Fear, Anger, Disgust and Sadness - conflict on how best to navigate a new city, house, and school.","PG","1h 35min","2015","Pete DocterRonnie Del Carmen","175000000","","857611174"
"Det sjunde inseglet","8.2","A man seeks answers about life, death, and the existence of God as he plays chess against the Grim Reaper during the Black Plague.","","Drama","1957","Ingmar Bergman","150000","",""
"Lock, Stock and Two Smoking Barrels","8.2","A botched card game in London triggers four friends, thugs, weed-growers, hard gangsters, loan sharks and debt collectors to collide with each other in a series of unexpected events, all for the sake of weed, cash and two antique shotguns.","R","1h 47min","1998","Guy Ritchie","960000","","28356188"
"A Beautiful Mind","8.2","After John Nash, a brilliant but asocial mathematician, accepts secret work in cryptography, his life takes a turn for the nightmarish.","PG-13","2h 15min","2001","Ron Howard","58000000","","313542341"
"Casino","8.2","A tale of greed, deception, money, power, and murder occur between two best friends: a mafia enforcer and a casino executive, compete against each other over a gambling empire, and over a fast living and fast loving socialite.","R","2h 58min","1995","Martin Scorsese","","",""
"Room","8.2","A young boy is raised within the confines of a small shed.","R","1h 58min","2015","Lenny Abrahamson","13000000","","21989069282016"
"Mr. Smith Goes to Washington","8.2","A naive man is appointed to fill a vacancy in the United States Senate. His plans promptly collide with political corruption, but he doesn't back down.","","Comedy","1939","Frank Capra","1500000","",""
"The Elephant Man","8.2","A Victorian surgeon rescues a heavily disfigured man who is mistreated while scraping a living as a side-show freak. Behind his monstrous facade, there is revealed a person of intelligence and sensitivity.","","Biography","1980","David Lynch","5000000","",""
"The Wolf of Wall Street","8.2","Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government.","R","3h","2013","Martin Scorsese","100000000","","392000694"
